InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,1
900,0,0
1000,0,0
1100,0,1
1200,1,1
1300,0,1
1400,0,1
1500,0,1
1600,1,1
1700,1,2
1800,1,2
1900,1,1
2000,2,2
2100,1,3
2200,2,2
2300,1,3
2400,2,3
2500,3,3
2600,2,4
2700,2,4
2800,5,5
2900,2,5
3000,6,5
3100,3,5
3200,6,5
3300,4,6
3400,4,6
3500,7,6
3600,4,7
3700,4,7
3800,7,8
3900,4,8
4000,5,8
4100,5,9
4200,9,9
4300,9,10
4400,9,11
4500,6,11
4600,6,11
4700,7,12
4800,10,12
4900,10,13
5000,7,13
5100,10,14
5200,8,13
5300,8,15
5400,11,15
5500,9,18
5600,13,17
5700,12,18
5800,9,18
5900,10,19
6000,15,20
6100,13,21
6200,13,20
6300,15,22
6400,14,23
6500,15,24
6600,12,24
6700,15,25
6800,16,26
6900,16,27
7000,16,28
7100,14,29
7200,17,30
7300,20,31
7400,18,31
7500,22,32
7600,20,33
7700,21,33
7800,23,36
7900,21,36
8000,21,38
8100,26,38
8200,21,39
8300,27,41
8400,26,42
8500,23,43
8600,26,44
8700,27,46
8800,30,45
8900,29,46
9000,28,47
9100,30,49
9200,31,51
9300,30,52
9400,31,52
9500,31,56
9600,33,51
9700,34,54
9800,34,53
9900,34,55
10000,34,55
10100,38,62
10200,35,62
10300,35,63
10400,36,63
10500,38,64
10600,37,68
10700,37,69
10800,39,70
10900,41,72
11000,41,69
11100,42,71
11200,44,79
11300,46,75
11400,46,77
11500,47,79
11600,47,80
11700,49,81
11800,47,82
11900,50,86
12000,51,85
12100,53,88
12200,54,90
12300,53,92
12400,53,92
12500,52,93
12600,54,95
12700,56,99
12800,57,99
12900,56,101
13000,60,102
13100,61,105
13200,59,105
13300,62,106
13400,63,111
13500,65,111
13600,63,110
13700,67,112
13800,70,114
13900,71,114
14000,70,119
14100,70,121
14200,70,120
14300,74,121
14400,73,127
14500,76,128
14600,77,128
14700,78,135
14800,76,133
14900,80,138
15000,82,137
15100,80,144
15200,81,143
15300,81,146
15400,83,146
15500,83,146
15600,85,155
15700,86,149
15800,85,151
15900,88,155
16000,87,157
16100,91,158
16200,88,158
16300,94,162
16400,96,165
16500,96,162
16600,97,169
16700,98,170
16800,102,173
16900,98,175
17000,100,184
17100,101,179
17200,103,179
17300,104,183
17400,105,183
17500,107,185
17600,108,186
17700,111,196
17800,114,197
17900,115,200
18000,112,201
18100,115,200
18200,112,204
18300,117,206
18400,116,206
18500,118,208
18600,120,211
18700,125,214
18800,124,225
18900,125,222
19000,126,227
19100,129,230
19200,130,236
19300,129,229
19400,130,239
19500,134,239
19600,137,236
19700,136,243
19800,140,252
19900,143,248
