InputIndices,TestResults
0,0
100,0
200,0
300,0
400,1
500,1
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,2
1300,2
1400,2
1500,3
1600,3
1700,2
1800,5
1900,5
2000,2
2100,2
2200,5
2300,2
2400,5
2500,3
2600,6
2700,6
2800,6
2900,3
3000,6
3100,6
3200,5
3300,6
3400,5
3500,7
3600,8
3700,5
3800,7
3900,4
4000,7
4100,4
4200,10
4300,4
4400,8
4500,8
4600,8
4700,9
4800,8
4900,5
5000,12
5100,5
5200,8
5300,11
5400,9
5500,9
5600,9
5700,9
5800,9
5900,14
6000,9
6100,14
6200,10
6300,10
6400,13
6500,14
6600,11
6700,11
6800,16
6900,15
7000,11
7100,14
7200,14
7300,14
7400,15
7500,14
7600,17
7700,18
7800,15
7900,16
8000,16
8100,16
8200,20
8300,17
8400,17
8500,17
8600,17
8700,17
8800,15
8900,17
9000,24
9100,17
9200,18
9300,18
9400,17
9500,18
9600,18
9700,19
9800,16
9900,19
10000,21
10100,18
10200,21
10300,20
10400,20
10500,19
10600,22
10700,22
10800,21
10900,21
11000,20
11100,20
11200,26
11300,20
11400,26
11500,22
11600,22
11700,25
11800,22
11900,29
12000,22
12100,27
12200,23
12300,22
12400,25
12500,22
12600,27
12700,22
12800,25
12900,26
13000,25
13100,26
13200,23
13300,27
13400,24
13500,27
13600,23
13700,24
13800,30
13900,28
14000,28
14100,29
14200,26
14300,26
14400,30
14500,30
14600,29
14700,31
14800,31
14900,27
15000,29
15100,29
15200,29
15300,30
15400,31
15500,28
15600,34
15700,31
15800,31
15900,31
16000,32
16100,32
16200,31
16300,31
16400,32
16500,32
16600,32
16700,33
16800,32
16900,33
17000,33
17100,34
17200,33
17300,34
17400,33
17500,34
17600,34
17700,39
17800,34
17900,34
18000,34
18100,34
18200,34
18300,35
18400,35
18500,36
18600,37
18700,37
18800,39
18900,36
19000,38
19100,41
19200,37
19300,37
19400,38
19500,38
19600,38
19700,39
19800,45
19900,39
